63.9,16.9,10.4,7.9,0,0,0,0.4,0,0,0,0.2,0,0.1,0,0,0,0,997
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296
70.28,1.76,0,8.84,13.98,0,2.92,0,0,0.68,0,0,0,0,0,0,0.881,0,725
56.74059,22.92478,6.338582,0.03364465,11.90862,0,1.813601,0,0,0.01412865,0,0,0,0,0,0,0,0,906
2.3,7.8,18.5,0,0,0,0,0,7.7,0,63.7,0,0,0,0,0,0,0,480
6.39273,0,10.16276,0,0,0,0,0,2.842601,0,0,0,0,6.015172,11.41789,0,0,0,748
60.49812,19.75251,3.84745,0.4086631,12.12923,0,1.737829,0,0,1.358602,0,0,0,0.037416,0,0,0.02424488,0,885
0,26.54057,41.18675,16.58747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,21,379
30.66272,5.781526,0,0,0,0,0,34.77636,13.8451,0,0,5.875546,0,0,9.058758,0,0,0,700
39,1,0,0,5,1.5,0,0,3,3.4,47,0,0,0,0,0,0,0,494
15,3,3,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,470
62,0,25,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,568
56.55812,21.33832,6.046967,0.2966916,10.9305,0,0.0118467,0,0,4.596056,0,0,0,0,0,0,0,0,841
43.20588,10.57843,0,16.12745,0,0,7.372549,0,0,0,0,0,0,0,0,0,20.7549,0,628
62.8,16.5,11.2,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,959
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178
61.5,14,5,0,14,0,3,0,0,2,0,0,0,0,0,0,0,0,772
34.41143,0,0,5.243527,0,0,2.355419,43.01043,9.893428,0,0,0,0,0,2.800905,0,0,0,756
0,0.7376329,7.554948,0,0,0,0,0,14.72017,0,0,0,0,0,0,63.50344,0,0,442
61.62328,15.86218,1.404,8.400884,0,0,0,9.938784,0,0,0,1.940386,0,0,0,0,0,0.6133998,1022
7.438054,0,65.50089,4.165215,0,0,0,0,10.07549,12.82036,0,0,0,0,0,0,0,0,589
0,0,11.01101,0,0,0,0,1.501501,15.31531,0,0,0,0,0,0,0,0.5005004,0,485
0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,12,0,20,355
69.18721,10.168,0,7.514615,6.470522,0,0,0,0,4.696808,0,1.776046,0,0,0,0,0.1244154,0,810
30,38,15,2,1,1,6,1,4,1,0,0,0,0,0,0,0,0,798
17.96336,18.66324,0.2123908,0,0,0.1519323,0,0,0,0,0,21.07416,0,0.6265277,0,0,0,17.32124,724
61.64248,17.79317,6.413607,6.014408,0,0,1.35236,0.06890173,0,0,0,6.487977,0,0,0,0,0.0239208,0,992
74.8,6.5,10,0.7,7,0,0,0,0,1,0,0,0,0,0,0,0,0,792
59.05511,6.889763,4.921259,7.874015,2.952756,12.79527,1.968504,2.952756,0,0,0,0,0,0,0,0,0,0,835
24,0,4.5,6.62,0,0,0,0,0,1.5,30,0,0,14.53,18.85,0,0,0,656
57.57433,20.38997,9.271293,0.008343915,11.18631,0,0,0,0,1.345506,0,0,0,0,0,0,0,0,878
39,5,5,2.9,0,0,0,27.2,3,0,0,10.9,0,3,4,0,0,0,820
33.3,0,42.9,0,0,4.1,0,0,13.2,6.5,0,0,0,0,0,0,0,0,592
0,3.538845,0,0,0,0,1.398874,0,21.1863,4.903993,0,0,0,0,0,0,0,68.97199,534
3.011178,0,0,0,0,0,0,0,5.827003,0,0,0,0,0,0,0,0,53.86068,365
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164
61.62309,16.91159,6.674188,0,12.6378,0,0.4906424,0,0,1.433359,0,0,0,0,0,0,0,0,803
38.63891,17.65322,0,0,14.56325,0,0,0,0,0,0,0,0,0,0,0,0,17.55412,861
30.85038,39.29915,0,18.84231,0,0,2.752041,0,0,0,0,0,0,0,0,0,0,0,748
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.81789,0,0,142
72.42064,10.9127,0,2.976191,3.968254,0,2.976191,0,0,4.960318,0,0,0,0,0.9920635,0,0,0,980
57.40907,4.895554,13.37093,0,5.257329,4.208514,0.06450564,0.245393,13.02606,1.356813,0,0.1658388,0,0,0,0,0,0,605
47.82278,22.95063,0,0.03082429,14.01907,0,0.8086314,0,0,1.462703,0,0,0,0,0,0,0,12.69828,917
57.46282,20.08063,5.816895,0.04183365,11.28163,0,1.136533,0,0,3.977286,0,0,0,0,0,0,0,0,839
